Symbols,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL
AKR1C2,12.55528515,12.05785441,10.15353982,12.23600934,12.51959319,7.773123095,8.374312487,7.802765585,9.001215145,6.458457945,7.945547343,7.19357769,9.359368286,9.281594681
CEACAM6,5.552421604,5.90126973,5.073519726,6.330610317,5.781400857,9.840857443,9.868738301,12.44180385,9.444931832,10.23492049,11.36858597,13.04648836,11.57322675,11.33151841
MUC1,5.077786047,5.669148183,5.833550734,4.735031129,5.262418602,9.418418967,7.75001251,6.976000388,7.389424404,7.99234528,7.467033728,9.708147159,7.025439398,6.461579544
SORBS1,5.718776055,5.650163547,5.724346848,5.652409084,5.782077499,5.615398976,5.472620261,5.803330828,5.560451692,5.646299798,5.739611795,5.562814822,5.730705564,5.773897188
PCLAF,5.92683667,5.890754396,6.034826351,5.599358124,5.740381331,6.51882358,5.737580215,6.500497391,6.177937924,6.509952729,6.15458291,6.589722215,6.394630837,6.866892168
SORBS1,8.234664102,7.252775649,5.955238707,6.32225675,5.834597833,5.241824023,5.56117818,5.504871522,5.127921396,5.088055601,5.344626768,5.299324728,5.442806866,5.585369277
MAOA,11.48813028,10.78124265,8.877246445,11.36591511,11.291474,7.360258672,7.95689537,7.506684427,7.926379421,7.083219158,7.168204373,6.919688609,7.213054256,8.501619782
G0S2,12.75851732,12.47882848,11.21662266,12.84613715,12.56278287,8.468754477,8.602715227,8.831635113,9.177674237,7.103213967,8.413777059,6.185132241,8.971087188,10.08070669
MUC1,7.443159415,8.43008637,9.145698831,7.031880458,8.363355725,12.91276961,11.6801176,10.66429108,10.88757044,11.71559011,11.01782579,13.20868116,10.88765298,9.939688342
LIPE,9.622145917,8.491307742,5.278131313,8.532751761,6.578200379,4.505080055,5.098187816,4.589775426,4.332232529,4.383690273,4.049871923,4.297787218,4.382144136,5.251588525
TFAP2B,3.853360346,6.824468072,7.770097223,4.415658828,6.303068703,11.01492204,8.929161161,10.29242754,10.51248523,11.07794272,10.55109299,11.01181683,10.34074007,7.716564968
FHL1,12.96463714,12.23108,9.518039853,11.77751564,10.64944758,7.630937322,8.302978163,7.488436946,8.961044696,6.441322223,7.44963573,7.089764472,8.051488988,9.013729423
