X,logFC,AveExpr,t,P.Value,adj.P.Val,B
202988_s_at,-2.71376779648712,6.70725397196908,-6.67959044862059,1.26144575776759e-05,0.000779316913061503,3.53541440305184
224917_at,-2.70808020184045,9.54791619910655,-6.25565195526021,2.49488417108906e-05,0.00113862931597908,2.8601185048124
203397_s_at,-2.70735307437471,8.06927453286826,-3.62793328301275,0.00289889492743909,0.0245876830324455,-1.86189818270821
229152_at,-2.70504588527363,6.97280462650058,-4.22511067659445,0.000917586340181374,0.0111918817009347,-0.725371685414672
242350_s_at,-2.70461396331263,7.10012333891808,-3.66266153317406,0.00270947014908195,0.0235143302223897,-1.79544095600124
201688_s_at,-2.70080115128768,7.29742868853713,-5.02023549459725,0.00020973101350327,0.00422358864209625,0.742386220978295
1555230_a_at,2.69909777530554,4.88682077220141,5.72781402283729,6.03805667319175e-05,0.00191158511063555,1.98211102819674
206159_at,2.69143986543023,5.77309704719539,5.75894495616038,5.72521177480417e-05,0.00185112923588065,2.03503016035122
221577_x_at,-2.68997416432765,6.44320071348049,-4.10401559214959,0.00115591359921463,0.0130631616447002,-0.954252158886045
217388_s_at,-2.68276308654515,7.80200785341419,-4.81548771844553,0.000304475628297813,0.00537874151120611,0.371203167117701
219935_at,2.68004598755408,9.25604852382625,6.20118983015054,2.72821108635692e-05,0.00121272309875256,2.77143158525743
210715_s_at,-2.67831928392811,9.40146939377935,-4.79192264386945,0.000317931486739003,0.0055183822341127,0.328153390019367
231856_at,-2.67512317846737,6.43417269008438,-6.29912860966065,2.32371314019588e-05,0.0010924249006037,2.93060036975869
226961_at,-2.67356820511101,6.72001922357777,-6.07840394206894,3.34249308817772e-05,0.00136699095073756,2.56987083032887
203917_at,-2.67130413899679,8.97962674227499,-3.67287922887932,0.00265616371871778,0.0231991535003115,-1.77589098411074
203323_at,2.67019209586092,9.65664401090055,9.19937967273154,3.50803522973384e-07,0.000153216465020858,7.02568671557276
220192_x_at,-2.669225067602,9.30600880809435,-7.3384578077115,4.58532299151824e-06,0.000454994780884504,4.53249822810577
237390_at,2.66467365026354,4.40148574096213,6.67794406385932,1.26473117704984e-05,0.000780464752880364,3.53284335521287
226304_at,2.66411545002989,7.16132843081281,5.38386542783887,0.000109662309161172,0.00278355930983615,1.38816758244883
223623_at,2.66231424676088,9.12759810427442,6.19472241293368,2.75740538713963e-05,0.00122073797199886,2.76087069982953
206955_at,2.65848260743311,7.73148138871202,7.82011723117158,2.26690934990777e-06,0.000318067838181159,5.22212696636521
215918_s_at,2.65306630426582,6.34634746744121,7.35450418921841,4.47685775373323e-06,0.000452443988327846,4.55599919161622
220622_at,-2.65185827426655,5.07463453546014,-3.25113021354296,0.00605172967979728,0.0406284774365074,-2.58221568725416
211695_x_at,-2.6502657901924,6.94651973297493,-5.8479527540372,4.92098687761644e-05,0.00168205826386724,2.18555398400596
204404_at,-2.64680903775138,8.77993951338696,-3.84683454775654,0.00189563164329267,0.0183765354781963,-1.44342861562965
204026_s_at,-2.64048826382951,7.72451144671219,-5.55118476699377,8.18650704200105e-05,0.00229654834541512,1.67920823150469
201963_at,2.6371620121857,10.3614161902517,6.78645614132072,1.06631109769204e-05,0.000699047473217174,3.70144430629347
225655_at,-2.63443891955884,7.3309900168583,-7.04986131991579,7.09286230152219e-06,0.000562847962751416,4.1035234887505
204754_at,2.63440185157529,6.75557284529438,7.85208155374243,2.16557388990106e-06,0.000314658531258011,5.2667518035557
228770_at,2.62915365060361,7.07277926377047,9.47779743693145,2.46795286585133e-07,0.00012850983137183,7.36108707507365
203535_at,-2.62897991169271,9.6988143696378,-2.74385626170346,0.016277031268438,0.0804289818890055,-3.53656439924189
218542_at,-2.62635857031298,5.22351133389693,-5.63902701143223,7.03261335187166e-05,0.00209769849980133,1.83041115775282
1562321_at,2.62218763633255,6.66726751528547,3.46334837189778,0.0039961169360665,0.0305449033244004,-2.17689016053153
205780_at,-2.61461173677698,7.68492836900286,-9.12163230394376,3.87551283229472e-07,0.000153216465020858,6.93038656792614
213515_x_at,2.61200793738953,8.54090321655359,4.9281905980287,0.000247828602561636,0.00471961993906565,0.576164990687719
223704_s_at,2.60990734343016,5.13594088692207,5.28329375333093,0.000130969412947147,0.00311925201149136,1.21134763599141
225571_at,2.60920771184229,6.09598985318782,8.05238953994462,1.63053747849921e-06,0.000277724724725683,5.54323017366929
203213_at,-2.60534060822312,7.4861598482465,-6.77642401896339,1.08319597509357e-05,0.000704116569616179,3.68592962930279
1566472_s_at,2.60518514678839,7.11383402232791,5.84211516966577,4.96991610358778e-05,0.00169513514013513,2.17571735763434
203755_at,-2.60336610652593,6.58476130206761,-6.6510546257528,1.31968593335482e-05,0.000799082545846087,3.49079527462098
236534_at,-2.60292856946073,6.68795157345203,-5.01041528264322,0.000213488084195845,0.00427876136488557,0.724703485181728
219064_at,2.60278042674453,8.97490616197854,6.01726153014365,3.70105895361959e-05,0.0014432718340911,2.46866889565126
242181_at,2.60115936297045,7.54839850595021,5.94612787080543,4.16962938550246e-05,0.00152766079753749,2.3502346341863
200644_at,-2.60081877596751,10.5213404187314,-6.85357677421368,9.6024971935153e-06,0.000657915456209836,3.80486583844761
221872_at,-2.59942381200478,9.4482892548591,-4.45314026720489,0.000596440035490363,0.0083954180989837,-0.29766680760645
218211_s_at,-2.59555938416529,10.5104400623949,-9.52653344779259,2.32247782861182e-07,0.000122445737777805,7.41886720756345
209803_s_at,-2.59480029113361,7.84637431581609,-6.32139740628858,2.24086579065438e-05,0.00107097322643381,2.96659253945116
219288_at,-2.59375369414402,9.48931371510407,-6.47320847315836,1.75275438408925e-05,0.000934944838537362,3.20999633211359
218806_s_at,-2.59248519122879,7.33131170337523,-5.09743368504489,0.000182489093217419,0.00384049358577558,0.880958883861979
239710_at,2.59204509831057,4.536922303364,11.0551393970073,3.86542321500498e-08,5.71194633190263e-05,9.09992896680473
219689_at,2.59188145066638,8.30987951835577,7.30063571057519,4.85212551090014e-06,0.00046511260246938,4.47695998662646
227646_at,2.59075389460695,10.0185312391115,8.08620812737411,1.55499497740905e-06,0.000276036851915064,5.58937399859347
229357_at,2.58758011464529,7.73858776975243,6.0061530956439,3.77042784345521e-05,0.00145277055913258,2.45022306912199
227419_x_at,2.58298525070904,8.91007424054489,5.46444823112881,9.52147163145718e-05,0.00252344382670829,1.52882878181898
219429_at,-2.57891774774727,6.41903486600807,-4.30545613825391,0.000787877887255463,0.0101747512900168,-0.574146622168543
209220_at,2.5784075195426,7.4682528715262,8.26221099111379,1.21745943434368e-06,0.000244722774164488,5.82705858413011
203851_at,2.57811927518454,9.50676055995675,5.5052419682216,8.86732440237731e-05,0.00240644038796866,1.59968782186253
204039_at,2.57805738835463,9.22219055995097,5.77745139044989,5.54732569794861e-05,0.00181028611691628,2.06642219508828
209772_s_at,-2.57713610789147,9.54698069010461,-4.23371456857569,0.000902704420203628,0.0110679388938126,-0.709152143398142
214243_s_at,-2.57117212649379,8.08228660233002,-4.03255518337694,0.00132549408279601,0.0143820974353784,-1.08979933310312
206101_at,2.57017772492046,9.00844323465484,6.43656830302346,1.85928679507686e-05,0.000967295645685829,3.15156317842099
232204_at,2.56763307918495,8.77358194212259,8.09182571283341,1.54281033019136e-06,0.000274765976557696,5.59702406800851
202311_s_at,-2.56401041974579,8.69206938132053,-3.50409849330467,0.00369045472645966,0.0290024648723971,-2.09891588905441
226863_at,-2.5638950912672,6.82645259346215,-6.10466013662445,3.19989169205396e-05,0.00133961775086562,2.61315986084412
207165_at,-2.56033265311981,5.95730660982182,-6.29671723201577,2.33287565769501e-05,0.00109484958441609,2.92669853610823
