probes,Symbols,X,DCIS_1_S1.CEL,DCIS_2_S1.CEL,DCIS_3_S1.CEL,DCIS_4_S1.CEL,DCIS_5_S1.CEL,DCIS_6_S1.CEL,DCIS_7_S1.CEL,DCIS_8_S1.CEL,DCIS_9_S1.CEL,Healthy_1_S1.CEL,Healthy_2_S1.CEL,Healthy_3_S1.CEL,Healthy_4_S1.CEL,Healthy_5_S1.CEL
223920_s_at,TP53AIP1,223920_s_at,4.52787567,4.228075554,4.345071905,4.224691904,4.236366485,4.466083635,4.252739446,4.443050836,4.231833488,4.614087192,4.549035222,4.590845903,4.086754457,4.379931111
223921_s_at,GBA2,223921_s_at,6.887799084,6.893677437,6.959573628,6.743534435,6.98328251,6.952560252,7.074714442,6.886856731,6.95296191,7.17011709,7.174775226,6.982134539,7.108306625,6.982550019
223922_x_at,MS4A6A,223922_x_at,10.06438607,9.340492324,9.199874432,10.09758477,9.332120664,9.683427417,9.135836911,9.833658974,8.851980641,9.85086102,10.3124387,8.952172804,9.532228985,9.492574258
223923_at,EPCIP,223923_at,5.532031422,5.491365801,5.570931524,5.90163269,5.585190406,5.623461292,5.285858238,5.422151698,5.796609826,5.955640432,5.733875195,5.581443284,5.55810977,5.60024545
223924_at,ODAD4,223924_at,4.059016909,4.181605827,4.396890813,3.775097105,4.132338999,3.965646861,4.127435477,4.44066064,4.163997723,4.039579297,4.256642811,4.237013878,4.198170075,4.234315297
223925_s_at,MTPN,223925_s_at,6.846852373,6.138373786,6.398736562,6.732818184,6.470093783,6.502800705,6.827495416,6.942987655,6.943738073,5.946787364,5.907078297,5.956594733,5.843790735,5.897525122
223926_at,KIF2B,223926_at,3.844207657,3.62827279,3.577558131,3.662670981,3.472630879,4.049615368,3.660041252,3.770532351,3.517462302,3.497880555,3.926433574,3.608175192,4.018794341,3.955670782
223927_at,PCDHB9,223927_at,6.201193414,6.475069404,6.384537406,6.285005337,6.345633632,6.539528682,6.469554294,6.46668551,6.651121607,6.369331675,6.454691424,6.410638165,6.528420806,6.422632251
223928_s_at,GUCA1C,223928_s_at,3.920160279,3.534176659,4.23138926,3.693760232,3.634851884,3.796791592,3.681315423,3.939884748,3.751908849,3.657512763,3.707799104,3.791007333,3.849913708,4.057843829
223929_s_at,TOR1AIP1,223929_s_at,6.025682671,5.365506998,5.925061706,5.679858269,5.896985417,6.039813512,5.603040091,5.857706888,6.261682201,6.083088078,5.614888855,5.800129839,6.084946017,5.917752568
223930_at,TOR1AIP1,223930_at,4.124307551,3.996873549,4.057568941,3.431329881,3.975727622,4.05790077,4.280990421,3.659919788,4.380256359,3.523559887,3.727365514,3.816440877,3.744761833,3.784238556
223931_s_at,CHFR,223931_s_at,7.593623094,7.464015785,7.784394695,7.517141016,7.617916738,7.465319273,7.696711067,7.597945645,6.122432572,7.474403064,7.314108172,7.141149294,7.253859631,7.126151956
223932_at,NA,223932_at,5.423378059,4.98825123,5.428435416,5.402268648,5.638511598,5.389205184,5.645729651,5.372329691,5.459714849,5.318739709,5.255928577,5.254363619,5.295721525,5.353265103
223933_at,KIF5A,223933_at,4.989994831,4.676475383,5.337749946,4.883582391,4.914946938,5.001796282,5.147832615,5.335020154,4.973346154,4.828027452,4.915126018,4.791910272,4.940962743,4.988360439
223934_at,SP140L,223934_at,4.225881526,4.020891235,4.367358151,4.389733425,4.419389147,4.247107655,4.111717615,4.012003556,3.867411675,4.16059036,4.128875649,4.172757833,4.041324853,4.255152653
223935_at,TRPM5,223935_at,5.245532304,4.899072253,5.289661027,4.96814101,4.95696958,5.072345635,5.155216999,4.935128703,5.0339683,5.275745171,4.924106361,5.109571367,5.127504574,5.363759813
223936_s_at,FOXP1,223936_s_at,5.049349091,5.762895665,5.338853625,4.76590133,5.459157637,5.12129436,5.249243497,5.113120456,5.365135271,5.045843898,5.143857267,5.54076513,4.830717462,5.261158207
223937_at,FOXP1,223937_at,5.853019,5.913401783,5.888302363,5.815670735,6.046609835,5.875482621,5.90173125,5.660041666,5.891480734,5.887348171,5.898061414,5.993542831,5.990280871,5.81512936
223938_at,TEX35,223938_at,5.708737878,5.471225701,5.915604506,5.655402059,5.789568496,5.722168174,5.476492859,5.699591845,5.704487689,5.648349508,5.768111074,5.567853717,6.047436908,6.299589282
223939_at,SUCNR1,223939_at,7.334950135,5.679517841,6.119023966,7.107544593,5.187506381,6.391473628,5.760302337,6.264191966,5.426652025,7.672185603,7.112408298,5.722290806,7.679226141,7.603344783
223940_x_at,MALAT1,223940_x_at,7.8661713,7.244163475,7.313980657,7.58675857,7.922282799,8.068928011,8.719887472,7.187733797,7.564995018,7.96124653,8.340110658,8.324848746,6.389131901,6.972320126
223941_at,FBXO24,223941_at,5.018219518,4.805602097,5.169933349,4.901425822,5.071174079,4.989129283,5.249573515,5.197259804,4.998694554,4.71149993,4.832020603,5.089258315,4.663779911,4.76523427
223942_x_at,CHST5,223942_x_at,5.001913624,4.672850448,4.859814663,4.919713035,4.686719742,4.707899184,4.685900576,4.921467148,4.794887255,4.736603739,4.770557762,4.64155959,5.0794113,4.780611495
223943_s_at,GNG2,223943_s_at,5.325232248,5.066688345,5.338074271,5.487921797,5.221257767,5.651345127,5.543471353,5.551221228,5.307997608,5.953372776,5.74318445,5.520379412,5.874424703,5.772546114
