probes,Symbols,Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
206262_at,ADH1C,206262_at,2.980512196,6.073750643,11.47244616,2.45e-08,5.11e-05,9.517933997
219300_s_at,CNTNAP2,219300_s_at,-2.977240055,6.849406921,-6.282078425,2.39e-05,0.001108538,2.902993046
214858_at,GPC1-AS1,214858_at,-2.974454413,6.346107329,-4.419207705,0.0006357,0.008785874,-0.361011462
206093_x_at,NA,206093_x_at,2.970684389,9.900176609,5.542300527,8.31e-05,0.002318618,1.66385431
203434_s_at,MME,203434_s_at,2.969495103,7.078864117,7.92303197,1.96e-06,0.000302319,5.365305317
230309_at,BHMT2,230309_at,2.966624542,6.241207272,6.675227567,1.27e-05,0.000782575,3.52860031
232377_at,NXPH1,232377_at,-2.965670577,5.247396457,-3.22928538,0.006316038,0.041827684,-2.623823304
217232_x_at,HBB,217232_x_at,2.965511582,12.10308024,7.068686106,6.89e-06,0.000559645,4.131871471
202286_s_at,TACSTD2,202286_s_at,-2.959643235,11.35984598,-3.249086224,0.006075984,0.040736289,-2.586110044
207275_s_at,ACSL1,207275_s_at,2.957051067,9.622050013,6.334236611,2.19e-05,0.001062948,2.987310558
204475_at,MMP1,204475_at,-2.956748103,5.44355444,-5.401386687,0.000106337,0.002727005,1.418829139
208510_s_at,PPARG,208510_s_at,2.95652935,7.955487024,7.234480529,5.36e-06,0.000488342,4.379325218
218313_s_at,GALNT7,218313_s_at,-2.954073334,9.908488303,-8.386229828,1.03e-06,0.00022191,5.99208596
216379_x_at,CD24,216379_x_at,-2.952485417,12.22692598,-4.489025199,0.000557634,0.008006464,-0.230800406
205680_at,MMP10,205680_at,-2.948028526,5.545805149,-3.423923107,0.004316124,0.032260297,-2.252301631
1553243_at,ITIH5,1553243_at,2.94634898,7.057204425,7.053534656,7.05e-06,0.00056268,4.109059154
266_s_at,CD24,266_s_at,-2.931890984,10.25605296,-4.202234518,0.000958393,0.011521579,-0.768525018
204533_at,CXCL10,204533_at,-2.929635171,8.458633947,-3.616868774,0.002962023,0.024915169,-1.883074205
1558421_a_at,C14orf180,1558421_a_at,2.924783402,7.467224533,7.501657334,3.6e-06,0.000407509,4.769809605
219298_at,ECHDC3,219298_at,2.923724153,9.129249498,9.13183077,3.83e-07,0.000153216,6.942928847
1555740_a_at,MRAP,1555740_a_at,2.920834735,6.698895477,6.907014625,8.84e-06,0.000625546,3.886732005
204753_s_at,HLF,204753_s_at,2.920376678,6.61115283,8.644070272,7.25e-07,0.000187805,6.328807677
